`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+00ff`,355,366,`LATIN SMALL LETTER Y WITH DIAERESIS`,`y diaresis`,`ÿ`,`Y`,`U+0059`
`U+0100`,63,83,`LATIN CAPITAL LETTER A WITH MACRON`,`A macron`,`Ā`,`A`,`U+0041`
`U+0101`,63,84,`LATIN SMALL LETTER A WITH MACRON`,`a macron`,`ā`,`A`,`U+0041`
`U+0102`,63,85,`LATIN CAPITAL LETTER A WITH BREVE`,`A breve`,`Ă`,`A`,`U+0041`
`U+0103`,63,86,`LATIN SMALL LETTER A WITH BREVE`,`a breve`,`ă`,`A`,`U+0041`
`U+0104`,63,87,`LATIN CAPITAL LETTER A WITH OGONEK`,`A ogonek`,`Ą`,`A`,`U+0041`
`U+0105`,63,88,`LATIN SMALL LETTER A WITH OGONEK`,`a ogonek`,`ą`,`A`,`U+0041`
`U+0106`,95,103,`LATIN CAPITAL LETTER C WITH ACUTE`,`C accute`,`Ć`,`C`,`U+0043`
`U+0107`,95,104,`LATIN SMALL LETTER C WITH ACUTE`,`c accute`,`ć`,`C`,`U+0043`
`U+010c`,95,105,`LATIN CAPITAL LETTER C WITH CARON`,`C caron`,`Č`,`C`,`U+0043`
`U+010d`,95,106,`LATIN SMALL LETTER C WITH CARON`,`c caron`,`č`,`C`,`U+0043`
`U+010e`,109,117,`LATIN CAPITAL LETTER D WITH CARON`,`D caron`,`Ď`,`D`,`U+0044`
`U+010f`,109,118,`LATIN SMALL LETTER D WITH CARON`,`d apostrophe`,`ď`,`D`,`U+0044`
`U+0110`,109,119,`LATIN CAPITAL LETTER D WITH STROKE`,`D stroke`,`Đ`,`D`,`U+0044`
`U+0111`,109,120,`LATIN SMALL LETTER D WITH STROKE`,`d stroke`,`đ`,`D`,`U+0044`
`U+0112`,121,135,`LATIN CAPITAL LETTER E WITH MACRON`,`E macron`,`Ē`,`E`,`U+0045`
`U+0113`,121,136,`LATIN SMALL LETTER E WITH MACRON`,`e macron`,`ē`,`E`,`U+0045`
`U+0114`,121,137,`LATIN CAPITAL LETTER E WITH BREVE`,`E breve`,`Ĕ`,`E`,`U+0045`
`U+0115`,121,138,`LATIN SMALL LETTER E WITH BREVE`,`e breve`,`ĕ`,`E`,`U+0045`
`U+0116`,121,139,`LATIN CAPITAL LETTER E WITH DOT ABOVE`,`E dot`,`Ė`,`E`,`U+0045`
`U+0117`,121,140,`LATIN SMALL LETTER E WITH DOT ABOVE`,`e dot`,`ė`,`E`,`U+0045`
